B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 1
B07, Blotteritem, {'type': 'Trade', 'time': 8.325000000000061, 'price': 57.0, 'party1': 'S03', 'party2': 'B07', 'qty': 1}
B08, 0
B09, 0
B10, 0
B11, 0
B12, 1
B12, Blotteritem, {'type': 'Trade', 'time': 6.925000000000065, 'price': 80, 'party1': 'S04', 'party2': 'B12', 'qty': 1}
B13, 1
B13, Blotteritem, {'type': 'Trade', 'time': 14.087499999999734, 'price': 62.001, 'party1': 'B13', 'party2': 'S01', 'qty': 1}
B14, 0
B15, 0
B16, 0
B17, 1
B17, Blotteritem, {'type': 'Trade', 'time': 163.68749999998806, 'price': 92, 'party1': 'B17', 'party2': 'S00', 'qty': 1}
B18, 11
B18, Blotteritem, {'type': 'Trade', 'time': 95.00000000001303, 'price': 96.0, 'party1': 'B18', 'party2': 'S14', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 153.7374999999971, 'price': 96.0, 'party1': 'B18', 'party2': 'S16', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 183.71249999996985, 'price': 95.00700000000003, 'party1': 'B18', 'party2': 'S16', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 251.91249999990782, 'price': 96.0, 'party1': 'B18', 'party2': 'S01', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 286.27499999987657, 'price': 96.0, 'party1': 'B18', 'party2': 'S10', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 314.0749999998513, 'price': 96.0, 'party1': 'B18', 'party2': 'S08', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 340.0999999998276, 'price': 96.0, 'party1': 'B18', 'party2': 'S10', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 384.17499999978753, 'price': 96.0, 'party1': 'B18', 'party2': 'S00', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 415.549999999759, 'price': 96.0, 'party1': 'B18', 'party2': 'S10', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 505.5874999996771, 'price': 96.0, 'party1': 'B18', 'party2': 'S03', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 584.774999999936, 'price': 96.0, 'party1': 'B18', 'party2': 'S00', 'qty': 1}
B19, 5
B19, Blotteritem, {'type': 'Trade', 'time': 58.837500000004816, 'price': 97, 'party1': 'B19', 'party2': 'S10', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 77.57500000000907, 'price': 96, 'party1': 'B19', 'party2': 'S09', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 149.05000000000138, 'price': 97, 'party1': 'B19', 'party2': 'S08', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 554.1624999998246, 'price': 97, 'party1': 'B19', 'party2': 'S16', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 579.8874999999182, 'price': 97, 'party1': 'B19', 'party2': 'S03', 'qty': 1}
B20, 20
B20, Blotteritem, {'type': 'Trade', 'time': 26.924999999999006, 'price': 100.001, 'party1': 'B20', 'party2': 'S08', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 39.93750000000052, 'price': 100.00600000000003, 'party1': 'B20', 'party2': 'S07', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 73.91250000000824, 'price': 99.00600000000003, 'party1': 'B20', 'party2': 'S12', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 102.86250000001482, 'price': 96.00300000000001, 'party1': 'B20', 'party2': 'S12', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 135.31250000001387, 'price': 101.0, 'party1': 'B20', 'party2': 'S02', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 182.69999999997077, 'price': 95.00400000000002, 'party1': 'B20', 'party2': 'S08', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 211.66249999994443, 'price': 98.00700000000003, 'party1': 'B20', 'party2': 'S02', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 231.11249999992674, 'price': 99.05300000000025, 'party1': 'B20', 'party2': 'S19', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 281.88749999988056, 'price': 99.00200000000001, 'party1': 'B20', 'party2': 'S01', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 302.03749999986223, 'price': 98.01800000000009, 'party1': 'B20', 'party2': 'S02', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 309.17499999985574, 'price': 98.02600000000012, 'party1': 'B20', 'party2': 'S19', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 337.96249999982956, 'price': 96.00500000000002, 'party1': 'B20', 'party2': 'S07', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 366.54999999980356, 'price': 97.01000000000005, 'party1': 'B20', 'party2': 'S08', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 420.87499999975415, 'price': 97.001, 'party1': 'B20', 'party2': 'S03', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 465.63749999971344, 'price': 101.0, 'party1': 'B20', 'party2': 'S04', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 471.46249999970814, 'price': 97.00600000000003, 'party1': 'B20', 'party2': 'S18', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 482.9749999996977, 'price': 96.001, 'party1': 'B20', 'party2': 'S07', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 540.4999999997749, 'price': 99.00200000000001, 'party1': 'B20', 'party2': 'S19', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 571.2499999998868, 'price': 99.00300000000001, 'party1': 'B20', 'party2': 'S08', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 583.13749999993, 'price': 98.001, 'party1': 'B20', 'party2': 'S16', 'qty': 1}
B21, 15
B21, Blotteritem, {'type': 'Trade', 'time': 30.949999999998777, 'price': 100, 'party1': 'B21', 'party2': 'S19', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 62.3000000000056, 'price': 97, 'party1': 'B21', 'party2': 'S16', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 92.73750000001252, 'price': 97, 'party1': 'B21', 'party2': 'S16', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 109.53750000001634, 'price': 99, 'party1': 'B21', 'party2': 'S03', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 148.67500000000172, 'price': 97, 'party1': 'B21', 'party2': 'S04', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 212.53749999994363, 'price': 99, 'party1': 'B21', 'party2': 'S10', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 250.36249999990923, 'price': 97, 'party1': 'B21', 'party2': 'S08', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 282.01249999988045, 'price': 100, 'party1': 'B21', 'party2': 'S00', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 346.1374999998221, 'price': 95, 'party1': 'B21', 'party2': 'S03', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 398.4749999997745, 'price': 96, 'party1': 'B21', 'party2': 'S01', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 451.2874999997265, 'price': 102, 'party1': 'B21', 'party2': 'S12', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 482.01249999969855, 'price': 97, 'party1': 'B21', 'party2': 'S18', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 511.174999999672, 'price': 96, 'party1': 'B21', 'party2': 'S08', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 542.0624999997806, 'price': 99, 'party1': 'B21', 'party2': 'S10', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 574.7874999998996, 'price': 98, 'party1': 'B21', 'party2': 'S07', 'qty': 1}
B22, 14
B22, Blotteritem, {'type': 'Trade', 'time': 54.45000000000382, 'price': 99.99399999999997, 'party1': 'S06', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 88.6875000000116, 'price': 97.99799999999999, 'party1': 'S06', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 125.97500000002007, 'price': 101.99399999999997, 'party1': 'S13', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 179.87499999997334, 'price': 96, 'party1': 'S02', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 212.18749999994395, 'price': 100.96399999999983, 'party1': 'S17', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 242.06249999991678, 'price': 98.99099999999996, 'party1': 'S05', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 264.8124999998961, 'price': 94.99599999999998, 'party1': 'S11', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 311.7374999998534, 'price': 97.99699999999999, 'party1': 'S13', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 351.0124999998177, 'price': 99, 'party1': 'B22', 'party2': 'S16', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 408.11249999976576, 'price': 100.99799999999999, 'party1': 'S05', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 429.2874999997465, 'price': 98, 'party1': 'S15', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 481.1874999996993, 'price': 97.98799999999994, 'party1': 'S17', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 494.22499999968744, 'price': 97, 'party1': 'S12', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 553.7874999998232, 'price': 100.9369999999997, 'party1': 'S06', 'party2': 'B22', 'qty': 1}
B23, 15
B23, Blotteritem, {'type': 'Trade', 'time': 11.912499999999858, 'price': 61, 'party1': 'S00', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 76.8375000000089, 'price': 97, 'party1': 'B23', 'party2': 'S01', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 116.21250000001785, 'price': 102, 'party1': 'B23', 'party2': 'S04', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 139.93750000000966, 'price': 98, 'party1': 'B23', 'party2': 'S01', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 208.81249999994702, 'price': 98, 'party1': 'B23', 'party2': 'S01', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 256.7999999999034, 'price': 96, 'party1': 'B23', 'party2': 'S16', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 285.3874999998774, 'price': 97, 'party1': 'B23', 'party2': 'S09', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 318.16249999984757, 'price': 96, 'party1': 'B23', 'party2': 'S18', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 355.9624999998132, 'price': 98, 'party1': 'B23', 'party2': 'S19', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 388.9624999997832, 'price': 96, 'party1': 'B23', 'party2': 'S01', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 405.7624999997679, 'price': 96, 'party1': 'B23', 'party2': 'S18', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 447.5374999997299, 'price': 106, 'party1': 'B23', 'party2': 'S08', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 469.89999999970956, 'price': 98.999, 'party1': 'S13', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 529.9749999997366, 'price': 100, 'party1': 'B23', 'party2': 'S00', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 584.5374999999351, 'price': 98, 'party1': 'B23', 'party2': 'S08', 'qty': 1}
B24, 14
B24, Blotteritem, {'type': 'Trade', 'time': 48.500000000002466, 'price': 99, 'party1': 'B24', 'party2': 'S03', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 85.36250000001084, 'price': 98, 'party1': 'B24', 'party2': 'S19', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 124.28750000001969, 'price': 101, 'party1': 'B24', 'party2': 'S07', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 160.3374999999911, 'price': 95, 'party1': 'B24', 'party2': 'S12', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 231.22499999992664, 'price': 99, 'party1': 'B24', 'party2': 'S09', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 284.44999999987823, 'price': 98, 'party1': 'B24', 'party2': 'S08', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 332.5374999998345, 'price': 97, 'party1': 'B24', 'party2': 'S16', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 356.67499999981254, 'price': 97, 'party1': 'B24', 'party2': 'S08', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 403.8749999997696, 'price': 96, 'party1': 'B24', 'party2': 'S07', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 431.32499999974465, 'price': 98, 'party1': 'S02', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 481.7624999996988, 'price': 97, 'party1': 'B24', 'party2': 'S02', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 523.0249999997113, 'price': 100, 'party1': 'B24', 'party2': 'S03', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 553.2499999998213, 'price': 99, 'party1': 'B24', 'party2': 'S01', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 577.4374999999093, 'price': 98, 'party1': 'B24', 'party2': 'S01', 'qty': 1}
B25, 13
B25, Blotteritem, {'type': 'Trade', 'time': 41.07500000000078, 'price': 99, 'party1': 'B25', 'party2': 'S16', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 71.27500000000764, 'price': 99.99699999999999, 'party1': 'S13', 'party2': 'B25', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 115.05000000001759, 'price': 105, 'party1': 'B25', 'party2': 'S07', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 143.23750000000666, 'price': 98, 'party1': 'B25', 'party2': 'S03', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 191.1249999999631, 'price': 95, 'party1': 'B25', 'party2': 'S10', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 238.83749999991971, 'price': 98, 'party1': 'B25', 'party2': 'S14', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 312.26249999985293, 'price': 97, 'party1': 'B25', 'party2': 'S18', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 377.56249999979354, 'price': 96, 'party1': 'B25', 'party2': 'S03', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 412.07499999976216, 'price': 96, 'party1': 'B25', 'party2': 'S08', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 442.42499999973455, 'price': 107, 'party1': 'B25', 'party2': 'S03', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 451.11249999972665, 'price': 103, 'party1': 'S07', 'party2': 'B25', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 502.4874999996799, 'price': 96, 'party1': 'B25', 'party2': 'S15', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 571.587499999888, 'price': 98, 'party1': 'B25', 'party2': 'S19', 'qty': 1}
B26, 19
B26, Blotteritem, {'type': 'Trade', 'time': 31.43749999999875, 'price': 99.00300000000001, 'party1': 'B26', 'party2': 'S10', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 44.91250000000165, 'price': 98.00500000000002, 'party1': 'B26', 'party2': 'S01', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 83.4500000000104, 'price': 98.001, 'party1': 'B26', 'party2': 'S08', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 100.53750000001429, 'price': 96.00600000000003, 'party1': 'B26', 'party2': 'S10', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 135.43750000001376, 'price': 98.001, 'party1': 'B26', 'party2': 'S16', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 168.67499999998353, 'price': 91.00600000000003, 'party1': 'B26', 'party2': 'S01', 'qty': 1}
