B00, 0
B01, 0
B02, 0
B03, 1
B03, Blotteritem, {'type': 'Trade', 'time': 18.68253968253962, 'price': 64, 'party1': 'B03', 'party2': 'S06', 'qty': 1}
B04, 0
B05, 8
B05, Blotteritem, {'type': 'Trade', 'time': 34.47619047619091, 'price': 75.02900000000014, 'party1': 'B05', 'party2': 'S06', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 58.84126984127564, 'price': 81.0, 'party1': 'B05', 'party2': 'S01', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 66.92063492064119, 'price': 80.00800000000004, 'party1': 'B05', 'party2': 'S01', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 115.41269841269366, 'price': 81.0, 'party1': 'B05', 'party2': 'S08', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 140.47619047618002, 'price': 79.00900000000004, 'party1': 'B05', 'party2': 'S07', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 181.5873015872818, 'price': 77.00400000000002, 'party1': 'B05', 'party2': 'S12', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 213.11111111108414, 'price': 80.001, 'party1': 'B05', 'party2': 'S07', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 233.2539682539367, 'price': 81.0, 'party1': 'B05', 'party2': 'S06', 'qty': 1}
B06, 6
B06, Blotteritem, {'type': 'Trade', 'time': 82.14285714285995, 'price': 80, 'party1': 'B06', 'party2': 'S12', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 108.8730158730126, 'price': 81, 'party1': 'B06', 'party2': 'S05', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 145.96825396824227, 'price': 78, 'party1': 'B06', 'party2': 'S12', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 204.17460317457824, 'price': 79, 'party1': 'S12', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 215.31746031743285, 'price': 81, 'party1': 'B06', 'party2': 'S01', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 256.1904761904394, 'price': 81, 'party1': 'B06', 'party2': 'S11', 'qty': 1}
B07, 10
B07, Blotteritem, {'type': 'Trade', 'time': 17.555555555555497, 'price': 93.0, 'party1': 'B07', 'party2': 'S01', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 49.380952380956096, 'price': 81.0, 'party1': 'S14', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 90.28571428571524, 'price': 80.98399999999992, 'party1': 'S09', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 105.95238095237835, 'price': 82.98299999999992, 'party1': 'S03', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 151.41269841268547, 'price': 78.98799999999994, 'party1': 'S03', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 155.61904761903372, 'price': 78.98399999999992, 'party1': 'S09', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 205.4285714285462, 'price': 81.0, 'party1': 'S14', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 220.5714285713999, 'price': 82.99399999999997, 'party1': 'S03', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 244.79365079361662, 'price': 81.96599999999984, 'party1': 'S04', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 282.9523809523381, 'price': 82.89999999999952, 'party1': 'S14', 'party2': 'B07', 'qty': 1}
B08, 8
B08, Blotteritem, {'type': 'Trade', 'time': 17.269841269841212, 'price': 98, 'party1': 'B08', 'party2': 'S08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 77.58730158730543, 'price': 80, 'party1': 'B08', 'party2': 'S02', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 87.96825396825545, 'price': 80, 'party1': 'B08', 'party2': 'S06', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 119.15873015872455, 'price': 81, 'party1': 'B08', 'party2': 'S12', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 151.60317460316162, 'price': 77, 'party1': 'B08', 'party2': 'S02', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 167.65079365077702, 'price': 76, 'party1': 'B08', 'party2': 'S06', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 202.01587301584857, 'price': 79, 'party1': 'B08', 'party2': 'S11', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 254.92063492059845, 'price': 82, 'party1': 'B08', 'party2': 'S06', 'qty': 1}
B09, 10
B09, Blotteritem, {'type': 'Trade', 'time': 10.793650793650757, 'price': 106.0, 'party1': 'B09', 'party2': 'S15', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 51.87301587302014, 'price': 84.999, 'party1': 'S03', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 67.23809523810144, 'price': 80.99599999999998, 'party1': 'S13', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 121.04761904761301, 'price': 81.98299999999992, 'party1': 'S09', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 133.87301587300692, 'price': 81.9369999999997, 'party1': 'S13', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 168.7936507936339, 'price': 78.96299999999982, 'party1': 'S03', 'party2': 'B09', 'qty': 1}
