B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 1
B17, Blotteritem, {'type': 'Trade', 'time': 136.72727272726704, 'price': 101, 'party1': 'B17', 'party2': 'S09', 'qty': 1}
B18, 2
B18, Blotteritem, {'type': 'Trade', 'time': 115.47272727271749, 'price': 106.0, 'party1': 'B18', 'party2': 'S01', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 135.18181818181148, 'price': 106.0, 'party1': 'B18', 'party2': 'S06', 'qty': 1}
B19, 1
B19, Blotteritem, {'type': 'Trade', 'time': 140.4545454545422, 'price': 107.9779999999999, 'party1': 'S11', 'party2': 'B19', 'qty': 1}
B20, 3
B20, Blotteritem, {'type': 'Trade', 'time': 14.072727272727146, 'price': 111, 'party1': 'B20', 'party2': 'S06', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 104.0181818181735, 'price': 109, 'party1': 'B20', 'party2': 'S06', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 148.14545454545632, 'price': 111, 'party1': 'B20', 'party2': 'S01', 'qty': 1}
B21, 3
B21, Blotteritem, {'type': 'Trade', 'time': 33.34545454545527, 'price': 112, 'party1': 'B21', 'party2': 'S09', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 92.85454545453857, 'price': 113, 'party1': 'B21', 'party2': 'S08', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 149.09090909091148, 'price': 111, 'party1': 'B21', 'party2': 'S03', 'qty': 1}
B22, 5
B22, Blotteritem, {'type': 'Trade', 'time': 12.290909090909018, 'price': 118.0, 'party1': 'B22', 'party2': 'S08', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 45.599999999999156, 'price': 115.9159999999996, 'party1': 'S10', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 65.19999999999665, 'price': 118.0, 'party1': 'B22', 'party2': 'S03', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 107.85454545453665, 'price': 110.96099999999981, 'party1': 'S11', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 143.56363636363514, 'price': 111, 'party1': 'S13', 'party2': 'B22', 'qty': 1}
B23, 3
B23, Blotteritem, {'type': 'Trade', 'time': 25.636363636364102, 'price': 114, 'party1': 'S13', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 71.18181818181407, 'price': 116, 'party1': 'B23', 'party2': 'S08', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 111.63636363635435, 'price': 110.9589999999998, 'party1': 'S04', 'party2': 'B23', 'qty': 1}
B24, 5
B24, Blotteritem, {'type': 'Trade', 'time': 23.2000000000003, 'price': 119.99699999999999, 'party1': 'S14', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 56.9999999999977, 'price': 112.98999999999995, 'party1': 'S11', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 80.10909090908565, 'price': 117.98699999999994, 'party1': 'S00', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 102.45454545453734, 'price': 110.96999999999986, 'party1': 'S10', 'party2': 'B24', 'qty': 1}
