B00, 0
B01, 0
B02, 0
B03, 4
B03, Blotteritem, {'type': 'Trade', 'time': 179.8181818181859, 'price': 101.99699999999999, 'party1': 'S02', 'party2': 'B03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 200.18181818182285, 'price': 90.99599999999998, 'party1': 'S01', 'party2': 'B03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 330.8181818181668, 'price': 100.0, 'party1': 'S02', 'party2': 'B03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 348.90909090907076, 'price': 100, 'party1': 'S00', 'party2': 'B03', 'qty': 1}
B04, 6
B04, Blotteritem, {'type': 'Trade', 'time': 31.727272727272624, 'price': 111.00200000000001, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 76.18181818181932, 'price': 120.00400000000002, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 119.36363636363873, 'price': 122.00800000000004, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 194.54545454545905, 'price': 90.01900000000009, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 233.72727272727835, 'price': 97.00500000000002, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 267.0909090909122, 'price': 119.00200000000001, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B05, 5
B05, Blotteritem, {'type': 'Trade', 'time': 150.81818181818508, 'price': 120, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 170.0909090909129, 'price': 102.999, 'party1': 'S01', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 301.6363636363569, 'price': 119, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 331.99999999998465, 'price': 100.999, 'party1': 'S01', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 350.45454545452486, 'price': 100.0, 'party1': 'S02', 'party2': 'B05', 'qty': 1}
S00, 9
S00, Blotteritem, {'type': 'Trade', 'time': 31.727272727272624, 'price': 111.00200000000001, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 76.18181818181932, 'price': 120.00400000000002, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 119.36363636363873, 'price': 122.00800000000004, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 150.81818181818508, 'price': 120, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 194.54545454545905, 'price': 90.01900000000009, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 233.72727272727835, 'price': 97.00500000000002, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 267.0909090909122, 'price': 119.00200000000001, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 301.6363636363569, 'price': 119, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 348.90909090907076, 'price': 100, 'party1': 'S00', 'party2': 'B03', 'qty': 1}
S01, 3
S01, Blotteritem, {'type': 'Trade', 'time': 170.0909090909129, 'price': 102.999, 'party1': 'S01', 'party2': 'B05', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 200.18181818182285, 'price': 90.99599999999998, 'party1': 'S01', 'party2': 'B03', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 331.99999999998465, 'price': 100.999, 'party1': 'S01', 'party2': 'B05', 'qty': 1}
S02, 3
S02, Blotteritem, {'type': 'Trade', 'time': 179.8181818181859, 'price': 101.99699999999999, 'party1': 'S02', 'party2': 'B03', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 330.8181818181668, 'price': 100.0, 'party1': 'S02', 'party2': 'B03', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 350.45454545452486, 'price': 100.0, 'party1': 'S02', 'party2': 'B05', 'qty': 1}
S03, 0
S04, 0
