B00, 0
B01, 1
B01, Blotteritem, {'type': 'Trade', 'time': 277.09090909090935, 'price': 70.0, 'party1': 'B01', 'party2': 'S00', 'qty': 1}
B02, 0
B03, 5
B03, Blotteritem, {'type': 'Trade', 'time': 14.727272727272782, 'price': 80, 'party1': 'S01', 'party2': 'B03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 47.72727272727307, 'price': 94, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 168.18181818182194, 'price': 102, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 273.0000000000014, 'price': 109, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 355.2727272727053, 'price': 107, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
B04, 8
B04, Blotteritem, {'type': 'Trade', 'time': 46.27272727272757, 'price': 79.001, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 92.63636363636525, 'price': 99.00600000000003, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 120.45454545454785, 'price': 101.03400000000016, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 151.36363636363964, 'price': 101.00700000000003, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 193.45454545454993, 'price': 106.04400000000021, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 272.0000000000017, 'price': 109.01700000000008, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 331.3636363636212, 'price': 106.00800000000004, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 376.1818181817903, 'price': 105.00900000000004, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B05, 10
B05, Blotteritem, {'type': 'Trade', 'time': 28.818181818181746, 'price': 70.01900000000009, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
