B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 4
B10, Blotteritem, {'type': 'Trade', 'time': 27.02439024390177, 'price': 97.0, 'party1': 'B10', 'party2': 'S01', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 65.29268292682761, 'price': 97.0, 'party1': 'B10', 'party2': 'S06', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 181.34146341466217, 'price': 97.0, 'party1': 'B10', 'party2': 'S04', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 244.4634146341905, 'price': 97.0, 'party1': 'B10', 'party2': 'S04', 'qty': 1}
B11, 6
B11, Blotteritem, {'type': 'Trade', 'time': 26.24390243902375, 'price': 102.0, 'party1': 'B11', 'party2': 'S08', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 45.634146341462085, 'price': 102.0, 'party1': 'B11', 'party2': 'S08', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 65.04878048780316, 'price': 97.00400000000002, 'party1': 'B11', 'party2': 'S00', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 144.80487804879917, 'price': 102.0, 'party1': 'B11', 'party2': 'S02', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 161.60975609758395, 'price': 102.0, 'party1': 'B11', 'party2': 'S07', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 227.60975609760084, 'price': 102.0, 'party1': 'B11', 'party2': 'S05', 'qty': 1}
B12, 3
B12, Blotteritem, {'type': 'Trade', 'time': 51.24390243902286, 'price': 104, 'party1': 'B12', 'party2': 'S05', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 64.8536585365836, 'price': 98.99799999999999, 'party1': 'S03', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 251.60975609760698, 'price': 94, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B13, 5
B13, Blotteritem, {'type': 'Trade', 'time': 43.31707317073046, 'price': 109, 'party1': 'B13', 'party2': 'S07', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 108.90243902439974, 'price': 110, 'party1': 'B13', 'party2': 'S02', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 138.80487804879763, 'price': 106, 'party1': 'B13', 'party2': 'S07', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 181.29268292685728, 'price': 110, 'party1': 'B13', 'party2': 'S00', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 226.65853658540547, 'price': 110, 'party1': 'B13', 'party2': 'S09', 'qty': 1}
B14, 6
B14, Blotteritem, {'type': 'Trade', 'time': 85.12195121951561, 'price': 110, 'party1': 'S06', 'party2': 'B14', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 114.63414634147438, 'price': 114, 'party1': 'S10', 'party2': 'B14', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 157.51219512197315, 'price': 104, 'party1': 'S06', 'party2': 'B14', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 196.85365853661736, 'price': 116, 'party1': 'B14', 'party2': 'S09', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 241.68292682931175, 'price': 100, 'party1': 'S06', 'party2': 'B14', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 268.3170731707676, 'price': 106, 'party1': 'S06', 'party2': 'B14', 'qty': 1}
B15, 9
B15, Blotteritem, {'type': 'Trade', 'time': 6.487804878048785, 'price': 114, 'party1': 'B15', 'party2': 'S02', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 38.999999999998906, 'price': 114, 'party1': 'B15', 'party2': 'S05', 'qty': 1}
