B00, 0
B01, 0
B02, 0
B03, 0
B04, 6
B04, Blotteritem, {'type': 'Trade', 'time': 30.909090909090814, 'price': 121, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 63.545454545455335, 'price': 120, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 112.45454545454763, 'price': 118, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 148.54545454545774, 'price': 116, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 170.63636363636746, 'price': 99.99799999999999, 'party1': 'S00', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 195.1818181818227, 'price': 99.97599999999989, 'party1': 'S00', 'party2': 'B04', 'qty': 1}
B05, 13
B05, Blotteritem, {'type': 'Trade', 'time': 20.72727272727274, 'price': 150.0, 'party1': 'B05', 'party2': 'S03', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 59.18181818181885, 'price': 150.0, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 61.81818181818256, 'price': 150.0, 'party1': 'B05', 'party2': 'S03', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 92.90909090909253, 'price': 134, 'party1': 'S03', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 131.81818181818454, 'price': 124.96399999999983, 'party1': 'S00', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 169.45454545454925, 'price': 99.999, 'party1': 'S01', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 210.7272727272777, 'price': 99.95999999999981, 'party1': 'S00', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 227.2727272727327, 'price': 99.9359999999997, 'party1': 'S01', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 259.09090909091447, 'price': 99.94299999999973, 'party1': 'S00', 'party2': 'B05', 'qty': 1}
