B00, 0
B01, 0
B02, 0
B03, 5
B03, Blotteritem, {'type': 'Trade', 'time': 99.90909090909273, 'price': 110.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 124.72727272727525, 'price': 110.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 243.00000000000588, 'price': 110.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 310.90909090908156, 'price': 110.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 360.8181818181583, 'price': 110.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
B04, 13
B04, Blotteritem, {'type': 'Trade', 'time': 30.181818181818095, 'price': 120.99199999999996, 'party1': 'S01', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 35.09090909090907, 'price': 120.99199999999996, 'party1': 'S02', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 86.09090909091051, 'price': 121.97099999999986, 'party1': 'S01', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 94.09090909091074, 'price': 121.96499999999983, 'party1': 'S02', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 150.6363636363669, 'price': 124.91799999999961, 'party1': 'S01', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 181.2727272727314, 'price': 124.87799999999942, 'party1': 'S02', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 198.45454545455007, 'price': 124.86299999999935, 'party1': 'S01', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 222.45454545455075, 'price': 110.98099999999991, 'party1': 'S01', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 270.7272727272748, 'price': 124.9149999999996, 'party1': 'S02', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 287.0909090909065, 'price': 124.90099999999953, 'party1': 'S02', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 305.72727272726485, 'price': 124.99299999999997, 'party1': 'S01', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 359.09090909088604, 'price': 124.91399999999959, 'party1': 'S02', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 380.5454545454254, 'price': 124.88199999999944, 'party1': 'S01', 'party2': 'B04', 'qty': 1}
B05, 4
B05, Blotteritem, {'type': 'Trade', 'time': 166.72727272727644, 'price': 111, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 215.63636363636874, 'price': 110, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 260.8181818181867, 'price': 110, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 326.1818181818045, 'price': 109, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
S00, 9
S00, Blotteritem, {'type': 'Trade', 'time': 99.90909090909273, 'price': 110.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 124.72727272727525, 'price': 110.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 166.72727272727644, 'price': 111, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 215.63636363636874, 'price': 110, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 243.00000000000588, 'price': 110.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 260.8181818181867, 'price': 110, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 310.90909090908156, 'price': 110.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 326.1818181818045, 'price': 109, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 360.8181818181583, 'price': 110.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
S01, 7
S01, Blotteritem, {'type': 'Trade', 'time': 30.181818181818095, 'price': 120.99199999999996, 'party1': 'S01', 'party2': 'B04', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 86.09090909091051, 'price': 121.97099999999986, 'party1': 'S01', 'party2': 'B04', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 150.6363636363669, 'price': 124.91799999999961, 'party1': 'S01', 'party2': 'B04', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 198.45454545455007, 'price': 124.86299999999935, 'party1': 'S01', 'party2': 'B04', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 222.45454545455075, 'price': 110.98099999999991, 'party1': 'S01', 'party2': 'B04', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 305.72727272726485, 'price': 124.99299999999997, 'party1': 'S01', 'party2': 'B04', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 380.5454545454254, 'price': 124.88199999999944, 'party1': 'S01', 'party2': 'B04', 'qty': 1}
S02, 6
S02, Blotteritem, {'type': 'Trade', 'time': 35.09090909090907, 'price': 120.99199999999996, 'party1': 'S02', 'party2': 'B04', 'qty': 1}
