B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 1
B13, Blotteritem, {'type': 'Trade', 'time': 74.6125000000084, 'price': 83.0, 'party1': 'B13', 'party2': 'S11', 'qty': 1}
B14, 1
B14, Blotteritem, {'type': 'Trade', 'time': 72.4625000000079, 'price': 85.0, 'party1': 'B14', 'party2': 'S12', 'qty': 1}
B15, 3
B15, Blotteritem, {'type': 'Trade', 'time': 64.80000000000616, 'price': 87, 'party1': 'B15', 'party2': 'S02', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 495.1249999996866, 'price': 87, 'party1': 'B15', 'party2': 'S05', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 612.8625000000382, 'price': 87, 'party1': 'B15', 'party2': 'S10', 'qty': 1}
B16, 0
B17, 0
B18, 8
B18, Blotteritem, {'type': 'Trade', 'time': 45.97500000000189, 'price': 96.0, 'party1': 'B18', 'party2': 'S10', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 71.36250000000766, 'price': 85.00800000000004, 'party1': 'B18', 'party2': 'S05', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 111.42500000001677, 'price': 95.03800000000018, 'party1': 'B18', 'party2': 'S02', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 250.97499999990868, 'price': 96.0, 'party1': 'B18', 'party2': 'S07', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 497.41249999968454, 'price': 85.001, 'party1': 'B18', 'party2': 'S13', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 527.3874999997272, 'price': 94.00600000000003, 'party1': 'B18', 'party2': 'S02', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 548.7124999998048, 'price': 96.0, 'party1': 'B18', 'party2': 'S18', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 608.4000000000219, 'price': 96.0, 'party1': 'B18', 'party2': 'S11', 'qty': 1}
B19, 17
B19, Blotteritem, {'type': 'Trade', 'time': 45.30000000000174, 'price': 98.0, 'party1': 'B19', 'party2': 'S05', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 83.58750000001044, 'price': 93.0, 'party1': 'S17', 'party2': 'B19', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 96.6250000000134, 'price': 95.99299999999997, 'party1': 'S08', 'party2': 'B19', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 127.80000000002049, 'price': 98.0, 'party1': 'S19', 'party2': 'B19', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 185.46249999996826, 'price': 98.0, 'party1': 'B19', 'party2': 'S18', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 203.37499999995197, 'price': 98.0, 'party1': 'B19', 'party2': 'S00', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 219.69999999993712, 'price': 98.0, 'party1': 'B19', 'party2': 'S13', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 263.32499999989744, 'price': 95.97599999999989, 'party1': 'S06', 'party2': 'B19', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 327.28749999983927, 'price': 98.0, 'party1': 'B19', 'party2': 'S07', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 368.73749999980157, 'price': 98.0, 'party1': 'B19', 'party2': 'S05', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 435.8749999997405, 'price': 98.0, 'party1': 'B19', 'party2': 'S05', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 490.8874999996905, 'price': 98.0, 'party1': 'B19', 'party2': 'S00', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 500.237499999682, 'price': 97.99799999999999, 'party1': 'S08', 'party2': 'B19', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 525.3374999997197, 'price': 93, 'party1': 'S04', 'party2': 'B19', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 548.212499999803, 'price': 98.0, 'party1': 'B19', 'party2': 'S07', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 598.3999999999855, 'price': 98.0, 'party1': 'B19', 'party2': 'S07', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 604.312500000007, 'price': 97.99499999999998, 'party1': 'S08', 'party2': 'B19', 'qty': 1}
B20, 8
B20, Blotteritem, {'type': 'Trade', 'time': 30.812499999998785, 'price': 100, 'party1': 'B20', 'party2': 'S14', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 60.82500000000527, 'price': 95.98899999999995, 'party1': 'S17', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 171.0249999999814, 'price': 98, 'party1': 'B20', 'party2': 'S18', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 251.84999999990788, 'price': 95, 'party1': 'B20', 'party2': 'S16', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 355.67499999981345, 'price': 98, 'party1': 'B20', 'party2': 'S00', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 424.83749999975055, 'price': 98, 'party1': 'B20', 'party2': 'S07', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 487.2124999996938, 'price': 99, 'party1': 'B20', 'party2': 'S07', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 609.8750000000273, 'price': 96, 'party1': 'B20', 'party2': 'S09', 'qty': 1}
B21, 11
B21, Blotteritem, {'type': 'Trade', 'time': 74.40000000000835, 'price': 92, 'party1': 'S04', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 106.95000000001575, 'price': 97.99799999999999, 'party1': 'S17', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 148.66250000000173, 'price': 99, 'party1': 'B21', 'party2': 'S02', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 227.43749999993008, 'price': 97.99599999999998, 'party1': 'S08', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 266.39999999989465, 'price': 98.0, 'party1': 'S19', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 340.73749999982704, 'price': 102.99499999999998, 'party1': 'S06', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 440.5124999997363, 'price': 103, 'party1': 'B21', 'party2': 'S16', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 496.3624999996855, 'price': 96, 'party1': 'B21', 'party2': 'S16', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 540.2874999997741, 'price': 98.0, 'party1': 'S19', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 557.2124999998357, 'price': 97.99099999999996, 'party1': 'S08', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 586.1749999999411, 'price': 99.99799999999999, 'party1': 'S01', 'party2': 'B21', 'qty': 1}
B22, 21
B22, Blotteritem, {'type': 'Trade', 'time': 24.92499999999912, 'price': 106.0, 'party1': 'B22', 'party2': 'S15', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 58.11250000000465, 'price': 95, 'party1': 'S04', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 83.47500000001041, 'price': 92.98199999999991, 'party1': 'S03', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 106.10000000001556, 'price': 97.99699999999999, 'party1': 'S03', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 130.2125000000185, 'price': 101, 'party1': 'S12', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 171.08749999998133, 'price': 101.97599999999989, 'party1': 'S20', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 183.68749999996987, 'price': 98.98699999999994, 'party1': 'S06', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 233.6999999999244, 'price': 98, 'party1': 'S16', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 251.54999999990815, 'price': 96.99499999999998, 'party1': 'S08', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 273.2749999998884, 'price': 99, 'party1': 'S00', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 306.83749999985787, 'price': 100.95299999999978, 'party1': 'S19', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 359.2499999998102, 'price': 99, 'party1': 'S14', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 390.74999999978155, 'price': 101.99499999999998, 'party1': 'S17', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 391.4874999997809, 'price': 101.99499999999998, 'party1': 'S03', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 430.0874999997458, 'price': 101.999, 'party1': 'S06', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 479.5374999997008, 'price': 105.99699999999999, 'party1': 'S03', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 491.5374999996899, 'price': 98.999, 'party1': 'S17', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 523.8874999997145, 'price': 93, 'party1': 'S00', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 560.3624999998472, 'price': 98, 'party1': 'S14', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 579.1374999999155, 'price': 100.97399999999988, 'party1': 'S17', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 619.8875000000637, 'price': 105.96599999999984, 'party1': 'S01', 'party2': 'B22', 'qty': 1}
B23, 15
B23, Blotteritem, {'type': 'Trade', 'time': 24.41249999999915, 'price': 107, 'party1': 'B23', 'party2': 'S16', 'qty': 1}
