B00, 0
B01, 0
B02, 0
B03, 0
B04, 16
B04, Blotteritem, {'type': 'Trade', 'time': 30.499999999999837, 'price': 100.00600000000003, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 60.58333333333396, 'price': 108.00200000000001, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 90.83333333333253, 'price': 116.0, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 124.58333333333061, 'price': 114.02800000000013, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 181.50000000000315, 'price': 116.0, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 264.41666666667635, 'price': 100.0630000000003, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 269.4166666666752, 'price': 100.001, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 347.74999999999073, 'price': 107.05200000000025, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 363.2499999999872, 'price': 107.06500000000031, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 393.66666666664696, 'price': 100.00300000000001, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 464.83333333329745, 'price': 100.03200000000015, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 491.41666666662474, 'price': 100.0220000000001, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 547.0833333333027, 'price': 112.01700000000008, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 654.4166666666848, 'price': 114.03800000000018, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 692.833333333369, 'price': 114.11800000000056, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 742.4166666667248, 'price': 100.0620000000003, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
B05, 18
B05, Blotteritem, {'type': 'Trade', 'time': 13.666666666666694, 'price': 115, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 94.8333333333323, 'price': 115, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 147.3333333333326, 'price': 116, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 206.83333333333937, 'price': 115, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 220.75000000000762, 'price': 105.999, 'party1': 'S01', 'party2': 'B05', 'qty': 1}
