B00, 0
B01, 5
B01, Blotteritem, {'type': 'Trade', 'time': 187.54545454545885, 'price': 80, 'party1': 'B01', 'party2': 'S01', 'qty': 1}
B01, Blotteritem, {'type': 'Trade', 'time': 242.9090909090968, 'price': 80, 'party1': 'B01', 'party2': 'S01', 'qty': 1}
B01, Blotteritem, {'type': 'Trade', 'time': 319.4545454545337, 'price': 77, 'party1': 'B01', 'party2': 'S01', 'qty': 1}
B01, Blotteritem, {'type': 'Trade', 'time': 383.0909090908792, 'price': 80, 'party1': 'B01', 'party2': 'S01', 'qty': 1}
B01, Blotteritem, {'type': 'Trade', 'time': 592.0909090908699, 'price': 79, 'party1': 'B01', 'party2': 'S01', 'qty': 1}
B02, 19
B02, Blotteritem, {'type': 'Trade', 'time': 11.909090909090938, 'price': 83, 'party1': 'S01', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 43.63636363636386, 'price': 82.98899999999995, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 90.454545454547, 'price': 82.99299999999997, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 122.00000000000244, 'price': 82.99699999999999, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 169.72727272727653, 'price': 78.98999999999995, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 181.4545454545496, 'price': 83, 'party1': 'S02', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 231.5454545454601, 'price': 83, 'party1': 'S02', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 271.8181818181836, 'price': 96.99699999999999, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 301.54545454544785, 'price': 79.97599999999989, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 332.1818181818028, 'price': 77.97599999999989, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 342.18181818179994, 'price': 82.99299999999997, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 377.9090909090625, 'price': 83, 'party1': 'S02', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 420.45454545450497, 'price': 82.999, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 433.54545454541034, 'price': 83, 'party1': 'S02', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 482.99999999994174, 'price': 82.97699999999989, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 488.2727272726675, 'price': 83, 'party1': 'S02', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 521.4545454544822, 'price': 82.98699999999994, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 558.9999999999495, 'price': 82.99399999999997, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 602.8181818181463, 'price': 79.97399999999988, 'party1': 'S00', 'party2': 'B02', 'qty': 1}
B03, 14
B03, Blotteritem, {'type': 'Trade', 'time': 47.00000000000032, 'price': 81.00200000000001, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 74.36363636363745, 'price': 80.00300000000001, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 110.90909090909304, 'price': 80.01200000000006, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 161.09090909091265, 'price': 78.01100000000005, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 182.36363636364052, 'price': 80.00200000000001, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 235.9090909090966, 'price': 79.01000000000005, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 287.1818181818156, 'price': 79.00900000000004, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 361.18181818179454, 'price': 80.01700000000008, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 404.4545454545095, 'price': 79.01400000000007, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 439.27272727268144, 'price': 80.02500000000012, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
