B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 1
B10, Blotteritem, {'type': 'Trade', 'time': 3.225000000000012, 'price': 73.0, 'party1': 'S09', 'party2': 'B10', 'qty': 1}
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 1
B17, Blotteritem, {'type': 'Trade', 'time': 112.31250000001697, 'price': 92, 'party1': 'B17', 'party2': 'S07', 'qty': 1}
B18, 7
B18, Blotteritem, {'type': 'Trade', 'time': 57.23750000000445, 'price': 96.0, 'party1': 'B18', 'party2': 'S01', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 76.23750000000877, 'price': 96.0, 'party1': 'B18', 'party2': 'S01', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 109.21250000001626, 'price': 96.0, 'party1': 'B18', 'party2': 'S12', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 231.28749999992658, 'price': 96.0, 'party1': 'B18', 'party2': 'S12', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 240.43749999991826, 'price': 96.0, 'party1': 'B18', 'party2': 'S01', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 317.32499999984833, 'price': 91.00200000000001, 'party1': 'B18', 'party2': 'S10', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 385.3249999997865, 'price': 96.0, 'party1': 'B18', 'party2': 'S17', 'qty': 1}
B19, 6
B19, Blotteritem, {'type': 'Trade', 'time': 52.812500000003446, 'price': 97, 'party1': 'B19', 'party2': 'S11', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 107.35000000001584, 'price': 97, 'party1': 'B19', 'party2': 'S17', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 233.037499999925, 'price': 95, 'party1': 'B19', 'party2': 'S11', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 312.8499999998524, 'price': 97, 'party1': 'B19', 'party2': 'S09', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 384.17499999978753, 'price': 97, 'party1': 'B19', 'party2': 'S11', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 513.9999999996785, 'price': 97, 'party1': 'B19', 'party2': 'S09', 'qty': 1}
B20, 14
B20, Blotteritem, {'type': 'Trade', 'time': 30.462499999998805, 'price': 101.0, 'party1': 'B20', 'party2': 'S08', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 74.76250000000843, 'price': 101.0, 'party1': 'B20', 'party2': 'S14', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 105.05000000001532, 'price': 101.0, 'party1': 'B20', 'party2': 'S09', 'qty': 1}
