B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B08, Blotteritem, {'type': 'Trade', 'time': 5.100000000000039, 'price': 64, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 1
B15, Blotteritem, {'type': 'Trade', 'time': 31.712499999998734, 'price': 88.0, 'party1': 'B15', 'party2': 'S02', 'qty': 1}
B16, 1
B16, Blotteritem, {'type': 'Trade', 'time': 20.487499999999372, 'price': 90, 'party1': 'B16', 'party2': 'S04', 'qty': 1}
B17, 6
B17, Blotteritem, {'type': 'Trade', 'time': 28.96249999999889, 'price': 93.0, 'party1': 'B17', 'party2': 'S00', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 137.10000000001224, 'price': 93.0, 'party1': 'B17', 'party2': 'S10', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 167.24999999998482, 'price': 93.0, 'party1': 'B17', 'party2': 'S04', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 220.6124999999363, 'price': 93.0, 'party1': 'B17', 'party2': 'S00', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 393.7874999997788, 'price': 93.0, 'party1': 'B17', 'party2': 'S00', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 397.32499999977557, 'price': 93.0, 'party1': 'B17', 'party2': 'S01', 'qty': 1}
B18, 2
B18, Blotteritem, {'type': 'Trade', 'time': 166.97499999998507, 'price': 94.999, 'party1': 'S06', 'party2': 'B18', 'qty': 1}
B18, Blotteritem, {'type': 'Trade', 'time': 357.11249999981214, 'price': 96, 'party1': 'B18', 'party2': 'S05', 'qty': 1}
B19, 10
B19, Blotteritem, {'type': 'Trade', 'time': 20.312499999999382, 'price': 95, 'party1': 'B19', 'party2': 'S09', 'qty': 1}
