B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 1
B15, Blotteritem, {'type': 'Trade', 'time': 272.86249999988877, 'price': 88.0, 'party1': 'B15', 'party2': 'S02', 'qty': 1}
B16, 1
B16, Blotteritem, {'type': 'Trade', 'time': 269.1874999998921, 'price': 90, 'party1': 'B16', 'party2': 'S01', 'qty': 1}
B17, 0
B18, 0
B19, 4
B19, Blotteritem, {'type': 'Trade', 'time': 208.22499999994756, 'price': 98.0, 'party1': 'B19', 'party2': 'S13', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 266.62499999989444, 'price': 98.0, 'party1': 'B19', 'party2': 'S18', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 390.274999999782, 'price': 98.0, 'party1': 'B19', 'party2': 'S10', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 509.83749999967324, 'price': 98.0, 'party1': 'B19', 'party2': 'S16', 'qty': 1}
B20, 3
B20, Blotteritem, {'type': 'Trade', 'time': 28.44999999999892, 'price': 100, 'party1': 'B20', 'party2': 'S04', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 268.5249999998927, 'price': 93, 'party1': 'B20', 'party2': 'S16', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 381.8999999997896, 'price': 101, 'party1': 'B20', 'party2': 'S01', 'qty': 1}
B21, 18
B21, Blotteritem, {'type': 'Trade', 'time': 21.187499999999332, 'price': 98.00600000000003, 'party1': 'B21', 'party2': 'S10', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 37.237499999999905, 'price': 100.00700000000003, 'party1': 'B21', 'party2': 'S11', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 67.27500000000673, 'price': 103.0, 'party1': 'B21', 'party2': 'S11', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 120.55000000001884, 'price': 103.0, 'party1': 'B21', 'party2': 'S09', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 133.37500000001563, 'price': 102.0200000000001, 'party1': 'B21', 'party2': 'S02', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 162.78749999998888, 'price': 103.0, 'party1': 'B21', 'party2': 'S18', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 197.46249999995734, 'price': 99.00500000000002, 'party1': 'B21', 'party2': 'S18', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 265.0499999998959, 'price': 98.01400000000007, 'party1': 'B21', 'party2': 'S00', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 288.3374999998747, 'price': 99.00500000000002, 'party1': 'B21', 'party2': 'S14', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 322.6624999998435, 'price': 103.0, 'party1': 'B21', 'party2': 'S14', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 338.96249999982865, 'price': 102.00700000000003, 'party1': 'B21', 'party2': 'S08', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 376.1999999997948, 'price': 99.0210000000001, 'party1': 'B21', 'party2': 'S11', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 393.3124999997792, 'price': 97.00700000000003, 'party1': 'B21', 'party2': 'S14', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 465.7749999997133, 'price': 103.0, 'party1': 'B21', 'party2': 'S15', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 507.887499999675, 'price': 98.001, 'party1': 'B21', 'party2': 'S18', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 548.3874999998036, 'price': 103.0, 'party1': 'B21', 'party2': 'S01', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 580.5124999999205, 'price': 103.0, 'party1': 'B21', 'party2': 'S04', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 612.0875000000353, 'price': 103.0, 'party1': 'B21', 'party2': 'S09', 'qty': 1}
B22, 14
B22, Blotteritem, {'type': 'Trade', 'time': 38.300000000000146, 'price': 100, 'party1': 'B22', 'party2': 'S14', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 66.96250000000666, 'price': 103, 'party1': 'B22', 'party2': 'S10', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 99.7250000000141, 'price': 103, 'party1': 'B22', 'party2': 'S16', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 198.02499999995683, 'price': 98, 'party1': 'B22', 'party2': 'S16', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 212.59999999994358, 'price': 99, 'party1': 'B22', 'party2': 'S01', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 256.7874999999034, 'price': 104, 'party1': 'B22', 'party2': 'S04', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 321.4249999998446, 'price': 105, 'party1': 'B22', 'party2': 'S02', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 354.1999999998148, 'price': 99, 'party1': 'B22', 'party2': 'S14', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 367.9499999998023, 'price': 100, 'party1': 'B22', 'party2': 'S02', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 445.5874999997317, 'price': 103, 'party1': 'B22', 'party2': 'S18', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 469.93749999970953, 'price': 103, 'party1': 'B22', 'party2': 'S02', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 510.71249999967245, 'price': 98, 'party1': 'B22', 'party2': 'S04', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 532.2624999997449, 'price': 105, 'party1': 'B22', 'party2': 'S09', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 597.7749999999833, 'price': 103, 'party1': 'B22', 'party2': 'S16', 'qty': 1}
B23, 21
B23, Blotteritem, {'type': 'Trade', 'time': 24.89999999999912, 'price': 101, 'party1': 'S20', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 47.487500000002235, 'price': 103, 'party1': 'S21', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 91.7875000000123, 'price': 107.98799999999994, 'party1': 'S03', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 111.32500000001674, 'price': 103.99799999999999, 'party1': 'S06', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 126.56250000002021, 'price': 103, 'party1': 'S17', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 177.88749999997515, 'price': 102.98899999999995, 'party1': 'S07', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 193.34999999996108, 'price': 100.98999999999995, 'party1': 'S05', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 211.5999999999445, 'price': 108, 'party1': 'S23', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 249.16249999991032, 'price': 108.0, 'party1': 'B23', 'party2': 'S11', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 273.12499999988853, 'price': 100.999, 'party1': 'S03', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 318.18749999984755, 'price': 108.0, 'party1': 'B23', 'party2': 'S01', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 349.74999999981884, 'price': 101, 'party1': 'S17', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 373.3124999997974, 'price': 101, 'party1': 'S17', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 415.7499999997588, 'price': 107.98199999999991, 'party1': 'S03', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 438.7249999997379, 'price': 107.98999999999995, 'party1': 'S05', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 457.8874999997205, 'price': 105, 'party1': 'S20', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 491.47499999968994, 'price': 101.99499999999998, 'party1': 'S05', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 534.6749999997537, 'price': 106, 'party1': 'S20', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 558.5874999998407, 'price': 107.99599999999998, 'party1': 'S05', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 600.8874999999946, 'price': 105.98699999999994, 'party1': 'S05', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 617.0250000000533, 'price': 104.98399999999992, 'party1': 'S07', 'party2': 'B23', 'qty': 1}
B24, 21
B24, Blotteritem, {'type': 'Trade', 'time': 12.374999999999831, 'price': 100.001, 'party1': 'B24', 'party2': 'S08', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 60.287500000005146, 'price': 105.001, 'party1': 'B24', 'party2': 'S02', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 89.83750000001186, 'price': 103.00900000000004, 'party1': 'B24', 'party2': 'S08', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 119.83750000001868, 'price': 103.00600000000003, 'party1': 'B24', 'party2': 'S21', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 131.78750000001708, 'price': 102.0210000000001, 'party1': 'B24', 'party2': 'S11', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 183.4499999999701, 'price': 101.03400000000016, 'party1': 'B24', 'party2': 'S10', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 215.71249999994075, 'price': 99.00500000000002, 'party1': 'B24', 'party2': 'S04', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 239.34999999991925, 'price': 105.00600000000003, 'party1': 'B24', 'party2': 'S00', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 256.6874999999035, 'price': 105.00400000000002, 'party1': 'B24', 'party2': 'S02', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 296.9249999998669, 'price': 99.02900000000014, 'party1': 'B24', 'party2': 'S04', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 324.87499999984146, 'price': 98.00200000000001, 'party1': 'B24', 'party2': 'S09', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 345.33749999982285, 'price': 102.00900000000004, 'party1': 'B24', 'party2': 'S19', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 381.6749999997898, 'price': 98.00200000000001, 'party1': 'B24', 'party2': 'S15', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 408.4249999997655, 'price': 103.00800000000004, 'party1': 'B24', 'party2': 'S04', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 424.0999999997512, 'price': 104.0210000000001, 'party1': 'B24', 'party2': 'S14', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 458.27499999972014, 'price': 103.00800000000004, 'party1': 'B24', 'party2': 'S16', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 503.7499999996788, 'price': 99.00300000000001, 'party1': 'B24', 'party2': 'S01', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 539.437499999771, 'price': 105.00400000000002, 'party1': 'B24', 'party2': 'S21', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 542.4249999997819, 'price': 104.001, 'party1': 'B24', 'party2': 'S16', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 577.2249999999085, 'price': 103.00400000000002, 'party1': 'B24', 'party2': 'S19', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 606.9000000000165, 'price': 103.00900000000004, 'party1': 'B24', 'party2': 'S16', 'qty': 1}
B25, 17
B25, Blotteritem, {'type': 'Trade', 'time': 4.550000000000031, 'price': 82, 'party1': 'B25', 'party2': 'S11', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 64.13750000000601, 'price': 104, 'party1': 'B25', 'party2': 'S04', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 110.41250000001654, 'price': 103, 'party1': 'B25', 'party2': 'S00', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 159.54999999999183, 'price': 104, 'party1': 'B25', 'party2': 'S16', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 189.86249999996426, 'price': 100, 'party1': 'B25', 'party2': 'S11', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 233.024999999925, 'price': 106, 'party1': 'B25', 'party2': 'S18', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 264.6749999998962, 'price': 99.99699999999999, 'party1': 'S07', 'party2': 'B25', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 321.2874999998447, 'price': 105, 'party1': 'B25', 'party2': 'S18', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 326.63749999983986, 'price': 104, 'party1': 'B25', 'party2': 'S00', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 353.0124999998159, 'price': 100, 'party1': 'B25', 'party2': 'S09', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 377.44999999979365, 'price': 99, 'party1': 'B25', 'party2': 'S04', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 445.51249999973174, 'price': 103, 'party1': 'B25', 'party2': 'S13', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 469.7624999997097, 'price': 103, 'party1': 'B25', 'party2': 'S11', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 502.0999999996803, 'price': 99, 'party1': 'B25', 'party2': 'S08', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 546.1624999997955, 'price': 104, 'party1': 'B25', 'party2': 'S08', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 566.9624999998712, 'price': 104, 'party1': 'B25', 'party2': 'S14', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 613.4625000000403, 'price': 101, 'party1': 'B25', 'party2': 'S01', 'qty': 1}
B26, 21
B26, Blotteritem, {'type': 'Trade', 'time': 15.949999999999628, 'price': 100.00400000000002, 'party1': 'B26', 'party2': 'S01', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 57.15000000000443, 'price': 105.00200000000001, 'party1': 'B26', 'party2': 'S20', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 75.9625000000087, 'price': 102.01800000000009, 'party1': 'B26', 'party2': 'S12', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 108.20000000001603, 'price': 103.00200000000001, 'party1': 'B26', 'party2': 'S18', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 153.82499999999703, 'price': 104.001, 'party1': 'B26', 'party2': 'S01', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 164.03749999998774, 'price': 103.001, 'party1': 'B26', 'party2': 'S02', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 206.26249999994934, 'price': 98.00700000000003, 'party1': 'B26', 'party2': 'S08', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 224.61249999993265, 'price': 105.00200000000001, 'party1': 'B26', 'party2': 'S09', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 243.53749999991544, 'price': 105.01500000000007, 'party1': 'B26', 'party2': 'S01', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 303.43749999986096, 'price': 100.00400000000002, 'party1': 'B26', 'party2': 'S16', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 310.14999999985486, 'price': 99.01100000000005, 'party1': 'B26', 'party2': 'S11', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 344.79999999982334, 'price': 102.01000000000005, 'party1': 'B26', 'party2': 'S01', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 377.23749999979384, 'price': 99.0210000000001, 'party1': 'B26', 'party2': 'S14', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 423.3374999997519, 'price': 104.0220000000001, 'party1': 'B26', 'party2': 'S16', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 435.14999999974117, 'price': 105.00400000000002, 'party1': 'B26', 'party2': 'S11', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 465.53749999971353, 'price': 103.00500000000002, 'party1': 'B26', 'party2': 'S18', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 491.5999999996898, 'price': 101.00300000000001, 'party1': 'B26', 'party2': 'S00', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 514.2749999996795, 'price': 96.00600000000003, 'party1': 'B26', 'party2': 'S11', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 548.6874999998047, 'price': 103.00200000000001, 'party1': 'B26', 'party2': 'S12', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 600.9749999999949, 'price': 103.001, 'party1': 'B26', 'party2': 'S13', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 622.3750000000728, 'price': 104.00900000000004, 'party1': 'B26', 'party2': 'S18', 'qty': 1}
B27, 17
B27, Blotteritem, {'type': 'Trade', 'time': 47.27500000000219, 'price': 98, 'party1': 'B27', 'party2': 'S08', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 91.13750000001215, 'price': 104, 'party1': 'B27', 'party2': 'S10', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 121.43750000001904, 'price': 102, 'party1': 'B27', 'party2': 'S14', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 162.04999999998955, 'price': 103, 'party1': 'B27', 'party2': 'S12', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 175.93749999997692, 'price': 102, 'party1': 'S20', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 220.2624999999366, 'price': 105, 'party1': 'B27', 'party2': 'S11', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 264.3499999998965, 'price': 99.99599999999998, 'party1': 'S05', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 321.27499999984474, 'price': 106, 'party1': 'B27', 'party2': 'S08', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 348.87499999981964, 'price': 101, 'party1': 'B27', 'party2': 'S12', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 390.73749999978156, 'price': 97, 'party1': 'B27', 'party2': 'S09', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 425.7499999997497, 'price': 104, 'party1': 'B27', 'party2': 'S20', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 440.54999999973626, 'price': 104, 'party1': 'B27', 'party2': 'S09', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 479.36249999970096, 'price': 101, 'party1': 'B27', 'party2': 'S19', 'qty': 1}
