B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 0
B18, 0
B19, 0
B20, 0
B21, 0
B22, 0
B23, 0
B24, 0
B25, 0
B26, 0
B27, 0
B28, 0
B29, 5
B29, Blotteritem, {'type': 'Trade', 'time': 28.000000000001627, 'price': 102.001, 'party1': 'B29', 'party2': 'S01', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 113.20430107528308, 'price': 104.0, 'party1': 'B29', 'party2': 'S10', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 238.08602150529657, 'price': 104.0, 'party1': 'B29', 'party2': 'S14', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 285.8602150536402, 'price': 104.0, 'party1': 'B29', 'party2': 'S09', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 679.2795698919921, 'price': 104.0, 'party1': 'B29', 'party2': 'S10', 'qty': 1}
B30, 8
B30, Blotteritem, {'type': 'Trade', 'time': 26.000000000001464, 'price': 104, 'party1': 'B30', 'party2': 'S04', 'qty': 1}
B30, Blotteritem, {'type': 'Trade', 'time': 111.74193548388463, 'price': 105, 'party1': 'B30', 'party2': 'S00', 'qty': 1}
B30, Blotteritem, {'type': 'Trade', 'time': 189.58064516125467, 'price': 105, 'party1': 'B30', 'party2': 'S10', 'qty': 1}
B30, Blotteritem, {'type': 'Trade', 'time': 216.0322580644564, 'price': 105, 'party1': 'B30', 'party2': 'S12', 'qty': 1}
B30, Blotteritem, {'type': 'Trade', 'time': 241.2688172042184, 'price': 103, 'party1': 'B30', 'party2': 'S17', 'qty': 1}
B30, Blotteritem, {'type': 'Trade', 'time': 285.6989247310597, 'price': 105, 'party1': 'B30', 'party2': 'S05', 'qty': 1}
B30, Blotteritem, {'type': 'Trade', 'time': 675.4301075264042, 'price': 104, 'party1': 'B30', 'party2': 'S12', 'qty': 1}
B30, Blotteritem, {'type': 'Trade', 'time': 700.3333333328331, 'price': 105, 'party1': 'B30', 'party2': 'S09', 'qty': 1}
B31, 16
B31, Blotteritem, {'type': 'Trade', 'time': 19.838709677420315, 'price': 97.00200000000001, 'party1': 'B31', 'party2': 'S05', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 40.4086021505375, 'price': 106.00500000000002, 'party1': 'B31', 'party2': 'S04', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 96.78494623656664, 'price': 108.0, 'party1': 'B31', 'party2': 'S07', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 126.784946236579, 'price': 106.00200000000001, 'party1': 'B31', 'party2': 'S21', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 150.80645161290283, 'price': 108.0, 'party1': 'B31', 'party2': 'S10', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 180.83870967739165, 'price': 105.00200000000001, 'party1': 'B31', 'party2': 'S01', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 189.365591397814, 'price': 104.00400000000002, 'party1': 'B31', 'party2': 'S01', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 240.63440860206845, 'price': 103.00400000000002, 'party1': 'B31', 'party2': 'S10', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 255.90322580635564, 'price': 108.0, 'party1': 'B31', 'party2': 'S22', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 379.61290322559796, 'price': 108.0, 'party1': 'B31', 'party2': 'S05', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 466.1075268814333, 'price': 108.0, 'party1': 'B31', 'party2': 'S05', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 482.08602150507465, 'price': 106.00200000000001, 'party1': 'B31', 'party2': 'S09', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 493.40860215022565, 'price': 106.00200000000001, 'party1': 'B31', 'party2': 'S03', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 542.8387096770624, 'price': 108.0, 'party1': 'B31', 'party2': 'S06', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 661.6129032253415, 'price': 108.0, 'party1': 'B31', 'party2': 'S09', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 673.3333333328577, 'price': 106.00700000000003, 'party1': 'B31', 'party2': 'S01', 'qty': 1}
B32, 6
B32, Blotteritem, {'type': 'Trade', 'time': 244.64516129023684, 'price': 105.0, 'party1': 'S21', 'party2': 'B32', 'qty': 1}
B32, Blotteritem, {'type': 'Trade', 'time': 290.4086021504103, 'price': 103.99599999999998, 'party1': 'S11', 'party2': 'B32', 'qty': 1}
B32, Blotteritem, {'type': 'Trade', 'time': 396.3870967739698, 'price': 110, 'party1': 'B32', 'party2': 'S14', 'qty': 1}
B32, Blotteritem, {'type': 'Trade', 'time': 477.4408602147563, 'price': 105.99199999999996, 'party1': 'S08', 'party2': 'B32', 'qty': 1}
B32, Blotteritem, {'type': 'Trade', 'time': 496.7956989244161, 'price': 108, 'party1': 'S18', 'party2': 'B32', 'qty': 1}
B32, Blotteritem, {'type': 'Trade', 'time': 614.860215053341, 'price': 109, 'party1': 'B32', 'party2': 'S04', 'qty': 1}
B33, 20
B33, Blotteritem, {'type': 'Trade', 'time': 14.3225806451618, 'price': 109, 'party1': 'B33', 'party2': 'S21', 'qty': 1}
B33, Blotteritem, {'type': 'Trade', 'time': 55.344086021501525, 'price': 106, 'party1': 'B33', 'party2': 'S05', 'qty': 1}
