B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 1
B09, Blotteritem, {'type': 'Trade', 'time': 19.638554216867146, 'price': 74.999, 'party1': 'S03', 'party2': 'B09', 'qty': 1}
B10, 1
B10, Blotteritem, {'type': 'Trade', 'time': 44.45783132529753, 'price': 74.99399999999997, 'party1': 'S09', 'party2': 'B10', 'qty': 1}
B11, 4
B11, Blotteritem, {'type': 'Trade', 'time': 25.915662650601238, 'price': 79.0, 'party1': 'S14', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 327.4698795181858, 'price': 79.0, 'party1': 'S14', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 339.57831325313106, 'price': 79, 'party1': 'S01', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 465.9879518074054, 'price': 80.999, 'party1': 'S09', 'party2': 'B11', 'qty': 1}
B12, 13
B12, Blotteritem, {'type': 'Trade', 'time': 46.69879518071892, 'price': 73.08900000000042, 'party1': 'B12', 'party2': 'S10', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 64.30120481927094, 'price': 77.00300000000001, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 94.5060240963931, 'price': 84.11300000000054, 'party1': 'B12', 'party2': 'S08', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 107.24096385543504, 'price': 82.001, 'party1': 'B12', 'party2': 'S12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 169.31325301208977, 'price': 86.0, 'party1': 'B12', 'party2': 'S14', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 243.39759036152105, 'price': 85.03100000000015, 'party1': 'B12', 'party2': 'S08', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 282.1686746988881, 'price': 86.0, 'party1': 'B12', 'party2': 'S13', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 333.7108433736103, 'price': 76.00900000000004, 'party1': 'B12', 'party2': 'S10', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 429.98795180738904, 'price': 86.0, 'party1': 'B12', 'party2': 'S14', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 466.03614457848977, 'price': 80.14300000000068, 'party1': 'B12', 'party2': 'S06', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 472.0240963857214, 'price': 80.1680000000008, 'party1': 'B12', 'party2': 'S11', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 532.9759036146647, 'price': 86.0, 'party1': 'B12', 'party2': 'S10', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 608.5060240966268, 'price': 86.0, 'party1': 'B12', 'party2': 'S13', 'qty': 1}
B13, 7
B13, Blotteritem, {'type': 'Trade', 'time': 6.771084337349452, 'price': 80, 'party1': 'B13', 'party2': 'S13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 53.06024096385059, 'price': 75.0, 'party1': 'S12', 'party2': 'B13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 238.2530120482657, 'price': 86.999, 'party1': 'S15', 'party2': 'B13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 315.80722891577085, 'price': 87.999, 'party1': 'S09', 'party2': 'B13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 349.50602409650907, 'price': 82, 'party1': 'S05', 'party2': 'B13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 438.62650602426044, 'price': 79, 'party1': 'S05', 'party2': 'B13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 466.4819277110201, 'price': 83.0, 'party1': 'S16', 'party2': 'B13', 'qty': 1}
B14, 11
B14, Blotteritem, {'type': 'Trade', 'time': 26.746987951805945, 'price': 82.99599999999998, 'party1': 'S09', 'party2': 'B14', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 48.61445783132107, 'price': 74, 'party1': 'S06', 'party2': 'B14', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 88.32530120482403, 'price': 84.99099999999996, 'party1': 'S09', 'party2': 'B14', 'qty': 1}
