B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 0
B18, 0
B19, 0
B20, 0
B21, 0
B22, 0
B23, 0
B24, 0
B25, 0
B26, 0
B27, 1
B27, Blotteritem, {'type': 'Trade', 'time': 443.1119999996929, 'price': 94.0, 'party1': 'B27', 'party2': 'S09', 'qty': 1}
B28, 2
B28, Blotteritem, {'type': 'Trade', 'time': 240.72000000011033, 'price': 94, 'party1': 'B28', 'party2': 'S03', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 439.7199999997008, 'price': 94, 'party1': 'B28', 'party2': 'S09', 'qty': 1}
B29, 7
B29, Blotteritem, {'type': 'Trade', 'time': 28.063999999997797, 'price': 97.0, 'party1': 'B29', 'party2': 'S06', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 247.12000000011815, 'price': 94.00600000000003, 'party1': 'B29', 'party2': 'S04', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 305.82400000001286, 'price': 97.0, 'party1': 'B29', 'party2': 'S08', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 388.8239999998194, 'price': 97.0, 'party1': 'B29', 'party2': 'S29', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 417.63999999975226, 'price': 94.00200000000001, 'party1': 'B29', 'party2': 'S20', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 439.631999999701, 'price': 97.0, 'party1': 'B29', 'party2': 'S20', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 457.47199999965943, 'price': 94.00300000000001, 'party1': 'B29', 'party2': 'S01', 'qty': 1}
B30, 2
B30, Blotteritem, {'type': 'Trade', 'time': 263.85600000011067, 'price': 96, 'party1': 'S29', 'party2': 'B30', 'qty': 1}
B30, Blotteritem, {'type': 'Trade', 'time': 422.3359999997413, 'price': 98, 'party1': 'S14', 'party2': 'B30', 'qty': 1}
B31, 8
B31, Blotteritem, {'type': 'Trade', 'time': 26.423999999997978, 'price': 99, 'party1': 'B31', 'party2': 'S03', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 240.7040000001103, 'price': 99, 'party1': 'B31', 'party2': 'S09', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 292.5600000000438, 'price': 98, 'party1': 'B31', 'party2': 'S00', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 353.1679999999025, 'price': 99, 'party1': 'B31', 'party2': 'S06', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 382.3519999998345, 'price': 99, 'party1': 'B31', 'party2': 'S08', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 391.89599999981226, 'price': 96.99499999999998, 'party1': 'S05', 'party2': 'B31', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 444.2719999996902, 'price': 96, 'party1': 'B31', 'party2': 'S15', 'qty': 1}
B31, Blotteritem, {'type': 'Trade', 'time': 506.34399999954553, 'price': 99, 'party1': 'B31', 'party2': 'S26', 'qty': 1}
B32, 8
B32, Blotteritem, {'type': 'Trade', 'time': 85.27999999999625, 'price': 101, 'party1': 'S02', 'party2': 'B32', 'qty': 1}
B32, Blotteritem, {'type': 'Trade', 'time': 102.59199999998665, 'price': 99, 'party1': 'S29', 'party2': 'B32', 'qty': 1}
B32, Blotteritem, {'type': 'Trade', 'time': 145.75999999999428, 'price': 101, 'party1': 'S14', 'party2': 'B32', 'qty': 1}
B32, Blotteritem, {'type': 'Trade', 'time': 169.04800000002274, 'price': 100, 'party1': 'B32', 'party2': 'S03', 'qty': 1}
B32, Blotteritem, {'type': 'Trade', 'time': 209.49600000007217, 'price': 100.999, 'party1': 'S05', 'party2': 'B32', 'qty': 1}
B32, Blotteritem, {'type': 'Trade', 'time': 261.03200000011725, 'price': 96, 'party1': 'S26', 'party2': 'B32', 'qty': 1}
B32, Blotteritem, {'type': 'Trade', 'time': 279.8960000000733, 'price': 101.99799999999999, 'party1': 'S27', 'party2': 'B32', 'qty': 1}
B32, Blotteritem, {'type': 'Trade', 'time': 459.5119999996547, 'price': 96, 'party1': 'S02', 'party2': 'B32', 'qty': 1}
B33, 12
B33, Blotteritem, {'type': 'Trade', 'time': 12.455999999999515, 'price': 101, 'party1': 'B33', 'party2': 'S04', 'qty': 1}
B33, Blotteritem, {'type': 'Trade', 'time': 62.3520000000075, 'price': 101, 'party1': 'B33', 'party2': 'S07', 'qty': 1}
B33, Blotteritem, {'type': 'Trade', 'time': 138.22399999998507, 'price': 100, 'party1': 'B33', 'party2': 'S06', 'qty': 1}
B33, Blotteritem, {'type': 'Trade', 'time': 178.72000000003456, 'price': 102, 'party1': 'B33', 'party2': 'S19', 'qty': 1}
B33, Blotteritem, {'type': 'Trade', 'time': 227.20800000009382, 'price': 103, 'party1': 'B33', 'party2': 'S04', 'qty': 1}
B33, Blotteritem, {'type': 'Trade', 'time': 248.12000000011938, 'price': 95, 'party1': 'B33', 'party2': 'S14', 'qty': 1}
B33, Blotteritem, {'type': 'Trade', 'time': 290.33600000004895, 'price': 99, 'party1': 'B33', 'party2': 'S20', 'qty': 1}
B33, Blotteritem, {'type': 'Trade', 'time': 347.35999999991606, 'price': 102, 'party1': 'B33', 'party2': 'S12', 'qty': 1}
B33, Blotteritem, {'type': 'Trade', 'time': 388.80799999981946, 'price': 98, 'party1': 'S26', 'party2': 'B33', 'qty': 1}
B33, Blotteritem, {'type': 'Trade', 'time': 419.5999999997477, 'price': 95, 'party1': 'B33', 'party2': 'S00', 'qty': 1}
B33, Blotteritem, {'type': 'Trade', 'time': 453.56799999966853, 'price': 95, 'party1': 'B33', 'party2': 'S06', 'qty': 1}
B33, Blotteritem, {'type': 'Trade', 'time': 504.83199999954905, 'price': 99, 'party1': 'B33', 'party2': 'S17', 'qty': 1}
B34, 16
B34, Blotteritem, {'type': 'Trade', 'time': 29.199999999997672, 'price': 97, 'party1': 'B34', 'party2': 'S11', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 56.42400000000552, 'price': 104, 'party1': 'B34', 'party2': 'S09', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 75.21600000000183, 'price': 99, 'party1': 'B34', 'party2': 'S04', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 113.47999999998062, 'price': 102, 'party1': 'B34', 'party2': 'S06', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 140.631999999988, 'price': 100, 'party1': 'B34', 'party2': 'S22', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 185.83200000004325, 'price': 101, 'party1': 'B34', 'party2': 'S22', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 195.40800000005495, 'price': 99, 'party1': 'B34', 'party2': 'S01', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 239.1440000001084, 'price': 104, 'party1': 'B34', 'party2': 'S00', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 252.44000000012466, 'price': 95, 'party1': 'B34', 'party2': 'S12', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 283.8400000000641, 'price': 100, 'party1': 'B34', 'party2': 'S20', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 319.21599999998165, 'price': 99, 'party1': 'S08', 'party2': 'B34', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 363.19199999987916, 'price': 104, 'party1': 'B34', 'party2': 'S00', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 428.2159999997276, 'price': 99, 'party1': 'B34', 'party2': 'S03', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 444.8319999996889, 'price': 95, 'party1': 'B34', 'party2': 'S03', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 455.5599999996639, 'price': 95, 'party1': 'S11', 'party2': 'B34', 'qty': 1}
B34, Blotteritem, {'type': 'Trade', 'time': 503.2799999995527, 'price': 101, 'party1': 'S21', 'party2': 'B34', 'qty': 1}
B35, 18
B35, Blotteritem, {'type': 'Trade', 'time': 18.359999999998866, 'price': 107, 'party1': 'S26', 'party2': 'B35', 'qty': 1}
B35, Blotteritem, {'type': 'Trade', 'time': 40.30400000000014, 'price': 107.0, 'party1': 'B35', 'party2': 'S14', 'qty': 1}
B35, Blotteritem, {'type': 'Trade', 'time': 78.37600000000008, 'price': 102, 'party1': 'S31', 'party2': 'B35', 'qty': 1}
B35, Blotteritem, {'type': 'Trade', 'time': 112.01599999998143, 'price': 101, 'party1': 'S25', 'party2': 'B35', 'qty': 1}
B35, Blotteritem, {'type': 'Trade', 'time': 151.38400000000115, 'price': 103, 'party1': 'S33', 'party2': 'B35', 'qty': 1}
B35, Blotteritem, {'type': 'Trade', 'time': 174.80800000002978, 'price': 103, 'party1': 'S21', 'party2': 'B35', 'qty': 1}
B35, Blotteritem, {'type': 'Trade', 'time': 206.96800000006908, 'price': 101, 'party1': 'S11', 'party2': 'B35', 'qty': 1}
B35, Blotteritem, {'type': 'Trade', 'time': 218.352000000083, 'price': 107.0, 'party1': 'B35', 'party2': 'S29', 'qty': 1}
B35, Blotteritem, {'type': 'Trade', 'time': 264.8320000001084, 'price': 97, 'party1': 'S15', 'party2': 'B35', 'qty': 1}
B35, Blotteritem, {'type': 'Trade', 'time': 289.448000000051, 'price': 100, 'party1': 'S15', 'party2': 'B35', 'qty': 1}
