B00, 0
B01, 0
B02, 12
B02, Blotteritem, {'type': 'Trade', 'time': 37.5454545454546, 'price': 83.0210000000001, 'party1': 'B02', 'party2': 'S00', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 80.54545454545581, 'price': 83.01900000000009, 'party1': 'B02', 'party2': 'S00', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 129.18181818182083, 'price': 83.02700000000013, 'party1': 'B02', 'party2': 'S00', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 153.63636363636698, 'price': 83.00400000000002, 'party1': 'B02', 'party2': 'S00', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 221.54545454545982, 'price': 83.01100000000005, 'party1': 'B02', 'party2': 'S00', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 336.45454545452884, 'price': 83.03700000000018, 'party1': 'B02', 'party2': 'S00', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 363.181818181794, 'price': 87.01100000000005, 'party1': 'B02', 'party2': 'S00', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 381.45454545451605, 'price': 85.00600000000003, 'party1': 'B02', 'party2': 'S00', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 423.36363636359505, 'price': 85.00200000000001, 'party1': 'B02', 'party2': 'S00', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 461.1818181817661, 'price': 84.00800000000004, 'party1': 'B02', 'party2': 'S00', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 536.0909090908508, 'price': 84.02300000000011, 'party1': 'B02', 'party2': 'S00', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 592.6363636363246, 'price': 83.01400000000007, 'party1': 'B02', 'party2': 'S00', 'qty': 1}
B03, 11
B03, Blotteritem, {'type': 'Trade', 'time': 30.909090909090814, 'price': 86, 'party1': 'S01', 'party2': 'B03', 'qty': 1}
